Epoch,Loss,Train_Acc,Train_Precision,Train_Recall,Test_Acc,Test_Precision,Test_Recall
1,0.3655147253384976,0.8804651464951602,0.8746468716099823,0.8726953048003628,0.9148715286789515,0.916193795084898,0.9033954081879164
2,0.24202135474231729,0.9221074514389658,0.9184318060785099,0.9177348424270203,0.927848429794965,0.9284562857930163,0.9188381686769105
3,0.19350065564914487,0.9389332813616579,0.9358097277938694,0.9344036329877796,0.9366727225538541,0.9327622052827511,0.9329761806849942
4,0.16701843417771314,0.9463392451114143,0.9443105189421517,0.9424538578374317,0.9135738385673501,0.9040870536346244,0.9208476098673861
5,0.1540253490433715,0.9506269083349574,0.9482080346762354,0.9477674533761911,0.9216195172592785,0.9247989525360041,0.9133877036443008
6,0.12090494211026974,0.9634249334112909,0.9617143582276366,0.9620198817924267,0.9156501427459123,0.9271500186713387,0.9028840010481229
7,0.11966335105553223,0.9637497563827714,0.9626778053393246,0.9616729810623259,0.9265507396833637,0.9279982537097432,0.9172786886064115
8,0.1081043210255438,0.9638796855713636,0.9625685654044549,0.9617093759063127,0.917207370879834,0.9131665451667967,0.9320322142748938
9,0.10599883095819225,0.9680374196063145,0.9666927950885994,0.966761072095731,0.9444588632234623,0.9438280167692765,0.9422688707184066
10,0.07672144573870698,0.975508347950367,0.9744539164475499,0.9738212639750103,0.9205813651699974,0.9212803386043555,0.9143593786275902
11,0.09817206132789896,0.9684272071720912,0.9679058436073703,0.9663203114961875,0.9353750324422528,0.9349474401012408,0.9311788674543893
12,0.07845860127170273,0.97245501201845,0.9712552391913043,0.9706631861314035,0.9244744355048015,0.9285358521389299,0.9147697103613297
13,0.072361804155828,0.9777171441564347,0.9768564901709789,0.9762499835526317,0.9400467168440176,0.9381418490557032,0.9367886227662565
14,0.06614930159533088,0.9797310465796141,0.9794475602848234,0.9783144468074754,0.9055281598754218,0.9045983577551885,0.9082607240139594
15,0.07287442759614093,0.9776521795621387,0.9768462860559677,0.976046027364261,0.9390085647547366,0.9345883928284494,0.9382411850611116
